127.0.0.1 - - [15/Jul/2022:12:27:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/styles.css HTTP/1.1" 200 210382
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/js/scripts.js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/free-icon-fruits-3524528.png HTTP/1.1" 200 16880
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/party.png HTTP/1.1" 200 20375
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/image/original.png HTTP/1.1" 200 1466567
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/resume.png HTTP/1.1" 200 22210
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/image/world.png HTTP/1.1" 200 1154418
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/bg-showcase-1.png HTTP/1.1" 200 640090
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/bg-showcase-2.jpg HTTP/1.1" 200 103813
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/main_img/bg-showcase-3.jpg HTTP/1.1" 200 36034
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:27:53 +0900] "GET /MessageSystem/assets/favicon.ico HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:00 +0900] "GET /MessageSystem/login.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:00 +0900] "GET /MessageSystem/jquery-3.6.0.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:00 +0900] "GET /MessageSystem/assets/login.css HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:02 +0900] "GET /MessageSystem/LoginCon?id=boya&pw=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:02 +0900] "GET /MessageSystem/loginsuc.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:02 +0900] "GET /MessageSystem/jquery-3.6.0.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:04 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 14585
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:04 +0900] "GET /MessageSystem/image/cola.png HTTP/1.1" 200 638781
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:04 +0900] "GET /MessageSystem/image/flower.png HTTP/1.1" 200 881506
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:04 +0900] "GET /MessageSystem/image/butter.png HTTP/1.1" 200 418037
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:12 +0900] "GET /MessageSystem/chat.jsp HTTP/1.1" 200 4040
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:12 +0900] "GET /MessageSystem/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:12 +0900] "GET /MessageSystem/assets/chat.css HTTP/1.1" 200 3235
0:0:0:0:0:0:0:1 - - [15/Jul/2022:12:28:19 +0900] "GET /MessageSystem/game.jsp HTTP/1.1" 200 10794
165.232.182.75 - - [15/Jul/2022:14:48:03 +0900] "GET / HTTP/1.1" 404 807
68.183.95.178 - - [15/Jul/2022:14:49:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
162.142.125.8 - - [15/Jul/2022:20:24:06 +0900] "-" 400 2163
162.142.125.8 - - [15/Jul/2022:20:24:08 +0900] "GET / HTTP/1.1" 404 807
162.142.125.8 - - [15/Jul/2022:20:24:08 +0900] "GET / HTTP/1.1" 404 807
